                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.63626,                0.63275,                0.81037,                0.83367,                0.78072,                0.85382,                 0.6959,                0.65949,                 1.0874,                0.79929,             0.00052128,             0.00052128,             0.00052128
                     61,                 0.6223,                0.59921,                0.80245,                 0.8249,                0.78771,                0.84445,                0.67922,                0.67391,                 1.1079,                0.80114,             0.00050186,             0.00050186,             0.00050186
                     62,                0.63227,                0.60116,                0.80525,                0.83992,                0.77557,                0.84114,                 0.6843,                 0.6536,                 1.0916,                0.79887,             0.00048244,             0.00048244,             0.00048244
                     63,                0.62907,                0.60197,                0.80249,                0.83271,                0.74691,                0.83961,                0.68482,                0.65168,                 1.1276,                0.79559,             0.00046302,             0.00046302,             0.00046302
                     64,                0.63954,                0.59362,                0.80786,                 0.8379,                0.73303,                0.84221,                0.67653,                0.68015,                 1.1212,                0.79956,              0.0004436,              0.0004436,              0.0004436
                     65,                0.62829,                0.57757,                0.80346,                0.84108,                0.73286,                0.84885,                0.68994,                0.63882,                 1.0713,                 0.7925,             0.00042419,             0.00042419,             0.00042419
                     66,                0.65838,                0.58899,                0.79595,                0.83432,                0.76668,                0.85336,                0.70205,                0.64264,                 1.0439,                 0.7935,             0.00040477,             0.00040477,             0.00040477
                     67,                0.64752,                0.59627,                0.79581,                0.86229,                0.76552,                0.85437,                 0.6943,                0.65693,                 1.0126,                 0.7963,             0.00038535,             0.00038535,             0.00038535
                     68,                0.62501,                0.56997,                0.80154,                0.84246,                0.77724,                0.84871,                0.69049,                0.65736,                 1.0269,                 0.7973,             0.00036593,             0.00036593,             0.00036593
                     69,                0.61578,                0.56959,                0.79677,                0.83208,                0.77299,                0.84263,                0.69987,                0.62891,                 1.0508,                0.79243,             0.00034651,             0.00034651,             0.00034651
                     70,                0.60876,                0.56555,                0.79443,                0.83498,                 0.7481,                0.83922,                 0.6981,                0.62887,                 1.0772,                0.79314,             0.00032709,             0.00032709,             0.00032709
                     71,                0.60444,                0.53435,                0.79494,                0.84541,                0.73423,                0.83816,                0.68402,                 0.6624,                 1.0955,                0.79903,             0.00030767,             0.00030767,             0.00030767
                     72,                0.59849,                0.53478,                0.79136,                0.84657,                0.73526,                0.83747,                0.67663,                0.70131,                 1.1163,                0.80637,             0.00028825,             0.00028825,             0.00028825
                     73,                    0.6,                0.53505,                0.79073,                0.81406,                0.75859,                0.83015,                0.67238,                0.68667,                 1.1363,                0.80546,             0.00026883,             0.00026883,             0.00026883
                     74,                0.58773,                0.52939,                0.79473,                0.84548,                0.74126,                0.83089,                0.67669,                0.66485,                 1.0936,                0.80217,             0.00024941,             0.00024941,             0.00024941
                     75,                0.58502,                0.50417,                0.79184,                0.83784,                0.75336,                0.83821,                0.68104,                0.66997,                 1.0551,                0.80316,                0.00023,                0.00023,                0.00023
                     76,                0.57309,                0.50336,                0.79802,                0.81529,                0.80381,                0.84634,                0.69408,                0.64802,                 1.0153,                0.79945,             0.00021058,             0.00021058,             0.00021058
                     77,                0.58723,                0.51787,                0.79281,                0.82671,                0.79643,                0.84871,                0.69668,                0.65023,                 1.0198,                0.80048,             0.00019116,             0.00019116,             0.00019116
                     78,                0.56294,                0.50538,                0.78455,                0.84799,                 0.7739,                0.85051,                0.69517,                0.66501,                 1.0175,                0.80297,             0.00017174,             0.00017174,             0.00017174
                     79,                0.56867,                0.49055,                0.79532,                0.86294,                0.76804,                0.85377,                0.69541,                0.68115,                 1.0187,                0.80589,             0.00015232,             0.00015232,             0.00015232
                     80,                0.54276,                0.46818,                0.78143,                0.83415,                0.79941,                0.85286,                0.69279,                0.67876,                 1.0628,                0.80722,              0.0001329,              0.0001329,              0.0001329
                     81,                 0.5659,                 0.4975,                0.79022,                0.81937,                0.80874,                0.85229,                0.69335,                0.67284,                  1.054,                 0.8062,             0.00011348,             0.00011348,             0.00011348
                     82,                0.55583,                0.46848,                0.79262,                0.83676,                0.79343,                0.85263,                0.69688,                0.66913,                 1.0442,                0.80542,             9.4063e-05,             9.4063e-05,             9.4063e-05
                     83,                0.55012,                0.47039,                0.78687,                0.83348,                0.79682,                0.84925,                 0.6941,                0.66909,                 1.0355,                0.80487,             7.4644e-05,             7.4644e-05,             7.4644e-05
                     84,                0.55036,                0.46138,                0.78278,                0.83866,                 0.7959,                0.84857,                0.68956,                 0.6778,                 1.0224,                0.80571,             5.5225e-05,             5.5225e-05,             5.5225e-05
                     85,                0.55002,                0.45556,                0.78955,                0.83625,                 0.7924,                0.84934,                0.69106,                0.67893,                 1.0244,                0.80621,             3.5806e-05,             3.5806e-05,             3.5806e-05
